,precision,recall,f1-score,support
0,0.4743524631792788,0.3754019292604502,0.41911599730760596,2488.0
1,0.47163305819663565,0.7561139028475712,0.5809149990348111,5970.0
2,0.8612269207861822,0.629955563300514,0.7276570048309178,11477.0
avg / total,0.6962698598287922,0.635966892400301,0.6452040426377521,19935.0
