,precision,recall,f1-score,support
0,0.6169811320754717,0.8134328358208955,0.701716738197425,1608.0
1,0.5138558986539984,0.5394846217788861,0.5263584752635848,1203.0
2,0.8154506437768241,0.6239737274220033,0.7069767441860464,2436.0
avg / total,0.6854797169236634,0.6626643796455117,0.663953708709884,5247.0
