,precision,recall,f1-score,support
0,0.6885061278569062,0.9055502308965757,0.7822519945807617,11477.0
1,0.38512845849802374,0.6266077170418006,0.4770501835985312,2488.0
2,1.0,0.13266331658291458,0.2342502218278616,5970.0
avg / total,0.7439269844071631,0.6392776523702032,0.5800492010488528,19935.0
