,precision,recall,f1-score,support
0,0.6824120603015076,0.8341523341523341,0.7506909894969597,1628.0
1,0.6126126126126126,0.7721005677210057,0.6831718693936132,1233.0
2,0.8496915311273135,0.6143552311435523,0.7131089668157213,2466.0
avg / total,0.7436939180180516,0.7180401727050872,0.7176652070641908,5327.0
