,precision,recall,f1-score,support
0,0.5157639450282943,0.7935323383084577,0.6251837334639881,1608.0
1,0.4321475625823452,0.2726517040731505,0.33435270132517847,1203.0
2,0.7353525322740815,0.6079638752052545,0.6656179775280899,2436.0
avg / total,0.5985402534804118,0.5879550219172861,0.5772759932080636,5247.0
