epoch,acc,loss,val_acc,val_loss
0,0.6267518707138569,0.8306230745784791,0.6130111623783367,0.7904268551152672
1,0.7471202101014586,0.6048385745172346,0.5849812126980967,0.79249289807661
2,0.7808343163638051,0.5252279115584392,0.702778312510685,0.664169130546728
3,0.7969062863752168,0.49655252404588424,0.5672636522823953,0.7986004970979417
4,0.8162283001850781,0.4586512659550472,0.6294396680013644,0.6991368773666158
5,0.8246619654958579,0.4322942047416207,0.5161953857171876,0.8979448823907124
6,0.8311963483949915,0.4113120251761746,0.7810263015367233,0.4694140234117706
7,0.8309632235767256,0.4096131582347558,0.5096404346947034,0.9892118076535176
8,0.8385260959731673,0.39457030393233705,0.5456789448668903,0.8616417290800764
9,0.8467609228716022,0.37323103503660926,0.5232714397153768,1.0551062406559428
10,0.8485367921996125,0.36739082489896174,0.6337456418330728,0.7804063664167038
11,0.8527947660239378,0.35705182646564676,0.46850058874670397,1.2578382545227522
12,0.8559145389089451,0.3451712799279552,0.6075258508325849,0.9084921485093914
13,0.8560448154769901,0.3462483040786758,0.7254052225353524,0.6375694530626393
14,0.8548791879559534,0.34801210329201815,0.6587312500448261,0.772960371565189
15,0.8628877420854505,0.33125162273886527,0.6967444655412066,0.7043418953067653
16,0.8641699362872236,0.326130364069259,0.6629823691224846,0.9161795169333306
