,precision,recall,f1-score,support
0,0.0,0.0,0.0,2488.0
1,0.29947328818660646,1.0,0.4609148812970469,5970.0
2,0.0,0.0,0.0,11477.0
avg / total,0.08968425033729824,0.29947328818660646,0.13803169507616603,19935.0
