,precision,recall,f1-score,support
0,0.9311247443762781,0.9918097063692602,0.9605096616319299,11477.0
1,0.6081823174080175,0.8902733118971061,0.7226753670473083,2488.0
2,0.9319075712881023,0.6350083752093802,0.7553297469615462,5970.0
avg / total,0.8910541508656967,0.872284926009531,0.8693807017368343,19935.0
