,precision,recall,f1-score,support
0,0.8203497615262321,0.6221864951768489,0.7076571428571428,2488.0
1,0.6637931034482759,0.8770519262981574,0.7556645980660991,5970.0
2,0.9515748031496063,0.8423804129999128,0.8936543883163099,11477.0
avg / total,0.8490142488092051,0.8252821670428894,0.8291166308798331,19935.0
