epoch,acc,loss,val_acc,val_loss
0,0.6306534769999478,0.8257636077327285,0.7696530597778322,0.6907446980061132
1,0.7741744472104493,0.5866466748302521,0.7768705608752738,0.6992080481882562
2,0.791089592653346,0.5415361495183773,0.8159398105677015,0.5379222071119316
3,0.7930054347860924,0.5158187897778063,0.8184199488410482,0.5828675084730635
4,0.7983697933025873,0.514867327522896,0.8319353517573143,0.6331105520254525
5,0.7949630789592669,0.5383937435718538,0.8060470875531697,0.5722336872334565
6,0.8311759800121648,0.44878810531202423,0.797659192183929,0.57456916826456
7,0.8485718269824517,0.4376949874142576,0.7070363662909611,0.9130664950578479
8,0.6998954996584982,0.6475428491768539,0.7380242450947846,0.5656668176902807
9,0.7951442105982386,0.5053558845664193,0.7803539102649197,0.4474708562286282
10,0.8769959600104318,0.3973556834209326,0.6913194933093091,0.7157583217260747
