,precision,recall,f1-score,support
0,0.44456886898096304,0.15956591639871381,0.23484176279207336,2488.0
1,0.4990693634445961,0.6737018425460637,0.5733837051821227,5970.0
2,0.7585359191477739,0.7258865557201359,0.7418521816562779,11477.0
avg / total,0.641647764727759,0.6395786305492852,0.6281226242604991,19935.0
