,precision,recall,f1-score,support
0,0.8288715689596747,0.9831189710610932,0.8994300422871853,2488.0
1,0.8574600355239786,0.9703517587939698,0.9104196133899104,5970.0
2,0.988365271802894,0.8808050884377451,0.9314904399907855,11477.0
avg / total,0.9292569400617825,0.9203912716328067,0.9211789725067734,19935.0
