,precision,recall,f1-score,support
0,0.936974446893624,1.0,0.9674618561915198,11477.0
1,0.7767717764595692,1.0,0.8743630293445792,2488.0
2,1.0,0.7509212730318258,0.8577441882713096,5970.0
avg / total,0.9358547231918501,0.9254075746175069,0.9229850887634364,19935.0
