,precision,recall,f1-score,support
0,0.9293985805005603,1.0,0.963407550822846,2488.0
1,0.9288937295783414,1.0,0.9631362426393483,5970.0
2,1.0,0.9437135139844908,0.9710417787340865,11477.0
avg / total,0.9698941175755251,0.9675946827188362,0.9677214873105222,19935.0
