
0-0,18870,19935,94.6576373212942%
0-0,17860,19935,89.59117130674693%
0-0,18231,19935,91.45221971407072%
0-0,17555,19935,88.06119889641334%
0-0,18594,19935,93.27313769751693%
0-0,18448,19935,92.54075746175069%
