,precision,recall,f1-score,support
0,0.0,0.0,0.0,2488.0
1,0.0,0.0,0.0,5970.0
2,0.5757210935540507,1.0,0.7307398446453585,11477.0
avg / total,0.33145477756307196,0.5757210935540507,0.4207023424627429,19935.0
