epoch,acc,loss,val_acc,val_loss
0,0.8817830462286992,0.33115011466132294,0.010269984125680807,4.748432894242763
1,0.9869500790425408,0.04712032570041023,0.05643197463390498,6.272520369736211
2,0.9928000419614074,0.02460444504188416,0.09486500843925537,6.694018020650077
0,0.8979035411411675,0.28044178471323405,0.027527792006533824,5.596082029549643
1,0.9864736090986805,0.05214538239741365,0.045844362988523735,6.724322871596426
2,0.9974853163569782,0.015809912848047152,0.060878771501694365,6.673498435144137
0,0.8175956839741026,0.454787372555244,0.007192027047188465,4.932637009336024
1,0.9049062456657181,0.23997986631699034,0.03513819006514993,5.568099070021566
2,0.9405856649550441,0.16431640039181114,0.06113222988210806,5.436081626292038
0,0.8175956839741026,0.454787372555244,0.007192027047188465,4.932637009336024
1,0.9049062456657181,0.23997986631699034,0.03513819006514993,5.568099070021566
2,0.9405856649550441,0.16431640039181114,0.06113222988210806,5.436081626292038
3,0.9577703594304038,0.11937341616112684,0.06267337954175319,6.083519438243189
4,0.9666067374080244,0.09780823263094966,0.07376964940057683,6.487615352665105
0,0.9137593316699899,0.21858416402745892,0.049338274287792534,7.577915068212926
1,0.9940971019812174,0.020894553435875058,0.0693488619184292,8.272334367147257
2,0.9951559148361624,0.01577911815939902,0.09751191216507653,8.27893953641424
0,0.9057652590068314,0.23902658647845035,0.023080995273340028,6.34682409948871
1,0.9917147626782923,0.029883952707055583,0.05113816955075055,8.277411033262835
2,0.9948118008036959,0.01810331960870683,0.07813658173230037,7.747292400226825
0,0.9488326541472405,0.13730149724365381,0.021916357381293987,7.004762777769736
1,0.9878500741428945,0.035969597878825095,0.1794600315182975,6.8061899726134625
2,0.9898618274503984,0.03296052424911199,0.1697194291541995,5.5795191238329105
3,0.9924029892443526,0.02573642180748766,0.09094759031475505,6.717893965601479
0,0.8617978715342497,0.3446974258549798,0.018104817332722574,5.851066126906726
1,0.9800148255816586,0.06122907511598049,0.061514028939164585,7.268402236173114
2,0.994361797991687,0.020213975799526114,0.08586553774494037,7.883188481429318
0,0.5715231086875959,0.8190111214222748,0.0,3.240712223966769
1,0.5780613055217322,0.8170324968060403,0.00010587612493382742,2.944467531402569
2,0.5781936576843666,0.8143535706043666,0.0,3.076612614727071
