,precision,recall,f1-score,support
0,0.5628527449974345,0.9006568144499179,0.6927691821913482,2436.0
1,0.5689910979228486,0.47699004975124376,0.5189445196211095,1608.0
2,1.0,0.0008312551953449709,0.0016611295681063125,1203.0
avg / total,0.6649603530157597,0.5645130550790928,0.4810457126432819,5247.0
