,precision,recall,f1-score,support
0,0.6146961846443711,0.5245176848874598,0.5660377358490566,2488.0
1,0.5070505287896592,0.7227805695142379,0.5959944751381215,5970.0
2,0.875725650397764,0.7097673608085737,0.7840608306463256,11477.0
avg / total,0.7327393555999298,0.69054426887384,0.700529473624024,19935.0
