,precision,recall,f1-score,support
0,0.7617647058823529,0.9785894206549118,0.8566703417861081,1588.0
1,0.6874632136550912,0.9957374254049446,0.8133704735376045,1173.0
2,0.9929971988795518,0.5893599334995844,0.7396974439227961,2406.0
avg / total,0.8525697625436036,0.8012386297658216,0.7923723859675242,5167.0
