,precision,recall,f1-score,support
0,0.8225753061900033,0.9987942122186495,0.9021601016518425,2488.0
1,0.9018126888217523,1.0,0.948371723590151,5970.0
2,1.0,0.8969242833493073,0.9456616600064305,11477.0
avg / total,0.9484519244578172,0.9405066466014548,0.9410440127733527,19935.0
