,precision,recall,f1-score,support
0,0.914033798677443,1.0,0.9550863723608445,2488.0
1,0.897606785822478,0.9926298157453937,0.9427298759147311,5970.0
2,1.0,0.9245447416572276,0.9607931908728721,11477.0
avg / total,0.9586069025567932,0.9543516428392275,0.9546714675341198,19935.0
